lead_source,industry,employment_status,location,number_of_courses_viewed,annual_income,interaction_count,lead_score,converted
social_media,manufacturing,NA,north_america,1,64210.0,4,0.68,1
organic_search,manufacturing,self_employed,africa,2,51367.0,3,0.66,1
organic_search,healthcare,unemployed,europe,3,34076.0,3,0.64,1
events,NA,self_employed,north_america,1,51851.0,1,0.2,0
NA,manufacturing,employed,africa,1,84548.0,6,0.57,1
paid_ads,manufacturing,unemployed,africa,2,48971.0,1,0.92,0
paid_ads,technology,NA,europe,2,0.0,3,0.3,0
social_media,other,employed,europe,1,55794.0,1,0.44,1
NA,retail,unemployed,europe,1,27998.0,2,0.59,0
organic_search,retail,unemployed,middle_east,3,74582.0,2,0.66,0
organic_search,healthcare,employed,australia,4,42875.0,1,0.38,1
referral,other,student,asia,5,45053.0,5,0.07,1
events,retail,self_employed,south_america,1,44143.0,5,0.01,1
events,technology,unemployed,south_america,4,41954.0,2,0.79,1
social_media,manufacturing,self_employed,asia,5,62029.0,5,0.97,1
social_media,retail,student,NA,2,0.0,7,0.51,1
events,healthcare,unemployed,australia,5,57425.0,6,0.6,1
paid_ads,other,self_employed,asia,2,51952.0,6,0.63,1
NA,manufacturing,employed,middle_east,3,83251.0,1,0.91,1
referral,finance,self_employed,north_america,0,43109.0,5,0.38,1
social_media,education,self_employed,asia,1,52177.0,5,0.24,1
referral,NA,self_employed,north_america,5,71016.0,0,0.25,1
paid_ads,healthcare,unemployed,north_america,3,72120.0,3,0.0,1
NA,manufacturing,unemployed,south_america,5,37797.0,3,0.0,1
NA,education,unemployed,asia,2,99779.0,5,0.87,1
events,technology,employed,asia,1,0.0,2,0.18,0
organic_search,manufacturing,student,south_america,1,59357.0,7,0.59,1
organic_search,other,unemployed,south_america,1,62569.0,5,0.37,1
social_media,other,student,asia,2,45202.0,2,0.68,1
paid_ads,other,self_employed,europe,2,75036.0,2,0.01,0
organic_search,manufacturing,self_employed,europe,1,63127.0,6,0.7,1
NA,healthcare,self_employed,africa,2,66218.0,2,0.76,0
referral,NA,employed,middle_east,0,58594.0,5,0.38,1
social_media,manufacturing,student,middle_east,1,64967.0,2,0.46,0
social_media,technology,unemployed,europe,0,59878.0,4,0.85,0
organic_search,education,unemployed,middle_east,1,52019.0,1,0.79,1
organic_search,healthcare,employed,asia,4,77325.0,0,0.7,1
social_media,retail,student,australia,1,67797.0,3,0.12,0
paid_ads,NA,student,north_america,0,48492.0,5,0.15,1
paid_ads,healthcare,unemployed,asia,3,40662.0,2,0.76,0
organic_search,NA,unemployed,north_america,4,63220.0,4,0.21,1
paid_ads,healthcare,employed,africa,5,65989.0,0,0.02,0
paid_ads,education,self_employed,south_america,4,53644.0,6,0.34,1
paid_ads,retail,self_employed,asia,2,61710.0,2,0.31,0
social_media,technology,unemployed,north_america,2,64878.0,2,0.08,0
referral,NA,unemployed,south_america,0,0.0,3,0.52,0
referral,retail,unemployed,south_america,3,61326.0,2,0.77,1
organic_search,education,student,middle_east,3,0.0,0,0.52,1
NA,healthcare,student,south_america,3,42646.0,1,0.5,1
social_media,technology,self_employed,asia,1,60148.0,3,0.82,1
referral,NA,unemployed,australia,1,64456.0,3,0.6,0
referral,other,unemployed,africa,2,68034.0,4,0.79,0
referral,healthcare,self_employed,NA,2,57572.0,4,0.28,1
events,education,student,south_america,2,77612.0,2,0.69,1
organic_search,finance,self_employed,NA,1,53787.0,6,0.08,1
organic_search,education,self_employed,north_america,3,63142.0,3,0.02,0
social_media,technology,student,north_america,4,62067.0,4,0.43,1
referral,education,employed,australia,2,47912.0,1,0.04,0
referral,other,student,asia,1,75319.0,4,0.79,1
referral,manufacturing,student,asia,3,50728.0,2,0.63,1
social_media,other,employed,middle_east,1,43941.0,2,0.4,0
events,technology,employed,australia,6,83392.0,3,0.35,1
organic_search,technology,student,asia,2,47325.0,3,0.4,1
NA,healthcare,unemployed,europe,2,45293.0,3,0.79,1
organic_search,manufacturing,student,middle_east,1,37666.0,5,0.14,0
referral,other,self_employed,middle_east,1,66890.0,4,0.53,1
social_media,manufacturing,student,south_america,1,67752.0,1,0.97,1
paid_ads,education,employed,africa,1,67902.0,3,0.7,1
referral,NA,self_employed,north_america,1,59939.0,6,0.07,1
social_media,other,employed,south_america,1,45257.0,3,0.47,1
events,NA,unemployed,north_america,2,0.0,2,0.5,0
events,finance,employed,middle_east,2,51245.0,2,0.53,1
organic_search,NA,student,middle_east,1,67589.0,3,0.08,0
events,education,unemployed,australia,2,0.0,2,0.73,1
paid_ads,technology,student,australia,1,43012.0,3,0.87,0
organic_search,other,employed,africa,1,48335.0,4,0.85,0
referral,retail,self_employed,africa,1,40841.0,4,0.61,1
events,manufacturing,student,north_america,4,69963.0,3,0.18,1
social_media,retail,student,europe,2,56594.0,1,0.2,0
events,other,employed,australia,3,83584.0,2,0.35,1
paid_ads,healthcare,employed,south_america,0,57209.0,3,0.17,0
paid_ads,healthcare,unemployed,asia,1,61455.0,3,0.53,0
referral,manufacturing,student,australia,3,62500.0,1,0.08,0
events,retail,employed,europe,0,54389.0,3,0.54,0
referral,finance,unemployed,middle_east,2,49506.0,1,0.71,1
paid_ads,manufacturing,employed,africa,2,59334.0,5,0.69,1
organic_search,manufacturing,student,middle_east,3,71738.0,6,0.77,1
paid_ads,other,employed,europe,2,0.0,2,0.01,0
paid_ads,other,self_employed,asia,2,65488.0,4,0.21,1
paid_ads,education,student,asia,3,44886.0,4,0.09,0
social_media,retail,student,north_america,1,70180.0,4,0.74,1
referral,technology,self_employed,asia,3,62492.0,1,0.44,1
referral,finance,self_employed,south_america,3,0.0,4,0.29,1
organic_search,finance,self_employed,NA,4,80304.0,3,0.97,1
social_media,other,student,europe,2,56754.0,5,0.41,1
referral,NA,employed,south_america,0,102855.0,3,0.43,0
social_media,education,unemployed,europe,2,47767.0,1,0.02,0
paid_ads,retail,employed,north_america,2,57183.0,2,0.2,0
referral,retail,self_employed,asia,0,73474.0,0,0.95,0
NA,other,self_employed,europe,1,61131.0,3,0.25,0
paid_ads,healthcare,self_employed,north_america,1,54032.0,0,0.91,0
events,technology,employed,asia,2,51801.0,4,0.89,1
organic_search,NA,student,north_america,1,72325.0,4,0.35,0
paid_ads,other,student,south_america,3,76502.0,2,0.42,1
social_media,manufacturing,student,africa,4,64410.0,3,0.22,1
organic_search,education,student,NA,1,41268.0,2,0.6,1
organic_search,other,unemployed,africa,2,41719.0,1,0.17,0
NA,technology,student,NA,1,48747.0,5,0.03,0
social_media,retail,self_employed,asia,2,86734.0,3,0.89,1
organic_search,retail,unemployed,europe,2,66775.0,2,0.32,0
referral,NA,employed,asia,1,56659.0,4,0.75,1
paid_ads,finance,employed,middle_east,1,69553.0,2,0.5,1
paid_ads,NA,employed,middle_east,3,0.0,5,0.5,1
paid_ads,technology,employed,asia,1,49828.0,1,0.24,0
NA,technology,employed,europe,1,74956.0,3,0.34,1
events,education,student,north_america,1,68118.0,7,0.87,1
organic_search,NA,student,south_america,2,89867.0,4,0.31,1
social_media,manufacturing,student,africa,2,56471.0,1,0.92,1
referral,finance,self_employed,north_america,1,63967.0,5,0.04,1
organic_search,healthcare,student,australia,2,51633.0,2,0.94,1
referral,other,student,australia,2,76063.0,4,0.32,1
referral,retail,NA,north_america,0,0.0,0,0.28,0
organic_search,finance,employed,europe,0,51159.0,1,0.68,0
NA,other,employed,south_america,2,0.0,5,0.17,1
NA,other,self_employed,NA,1,44308.0,3,0.11,0
paid_ads,NA,employed,africa,3,73645.0,2,0.02,0
organic_search,manufacturing,unemployed,north_america,3,75955.0,1,0.12,0
events,education,unemployed,australia,2,70816.0,2,0.89,1
referral,manufacturing,self_employed,africa,5,39588.0,3,0.02,1
social_media,retail,employed,north_america,3,64969.0,1,0.18,0
referral,finance,self_employed,north_america,1,33790.0,2,0.88,1
organic_search,technology,employed,middle_east,2,61686.0,5,0.53,1
social_media,retail,employed,south_america,2,61246.0,5,0.02,1
paid_ads,technology,self_employed,australia,3,56986.0,2,0.74,1
social_media,education,student,middle_east,2,58297.0,2,0.76,1
referral,other,self_employed,south_america,1,0.0,2,0.33,1
referral,retail,student,australia,2,0.0,4,0.14,1
paid_ads,manufacturing,employed,middle_east,1,48334.0,4,0.0,0
social_media,other,employed,australia,0,38704.0,1,0.74,0
social_media,healthcare,employed,asia,0,77320.0,1,0.35,0
paid_ads,retail,self_employed,middle_east,3,27377.0,2,0.67,1
social_media,retail,employed,africa,1,62438.0,4,0.93,1
paid_ads,other,self_employed,europe,1,62935.0,4,0.18,1
referral,other,unemployed,middle_east,3,58279.0,5,0.97,1
paid_ads,technology,employed,north_america,3,81973.0,2,0.59,1
social_media,healthcare,student,south_america,1,57537.0,2,0.28,0
paid_ads,manufacturing,employed,middle_east,1,44369.0,2,0.39,0
paid_ads,technology,unemployed,australia,0,45316.0,1,0.04,0
organic_search,finance,unemployed,asia,1,61706.0,3,0.85,0
referral,manufacturing,NA,south_america,4,33206.0,4,0.12,1
referral,healthcare,unemployed,europe,5,0.0,3,0.86,1
organic_search,retail,employed,africa,2,62666.0,0,0.3,0
referral,other,student,south_america,1,55312.0,3,0.72,1
NA,healthcare,unemployed,south_america,0,0.0,2,0.6,0
paid_ads,NA,unemployed,middle_east,3,37109.0,6,0.5,1
referral,retail,self_employed,australia,3,60051.0,6,0.57,1
NA,other,unemployed,europe,2,0.0,1,0.68,0
social_media,NA,unemployed,europe,4,58049.0,5,0.88,1
organic_search,finance,self_employed,africa,1,91403.0,5,0.0,1
events,finance,employed,middle_east,1,77270.0,3,0.32,1
referral,retail,self_employed,australia,2,66753.0,5,0.78,1
organic_search,technology,NA,australia,2,45738.0,3,0.6,0
organic_search,manufacturing,unemployed,australia,3,66207.0,4,0.49,1
NA,education,self_employed,middle_east,4,0.0,4,0.33,1
events,manufacturing,student,africa,1,37995.0,4,0.4,0
referral,other,student,asia,3,31321.0,1,0.71,0
NA,education,unemployed,europe,3,63012.0,2,0.93,1
social_media,education,employed,north_america,8,0.0,1,0.35,1
paid_ads,technology,self_employed,NA,0,76490.0,2,0.04,0
social_media,healthcare,employed,europe,6,65619.0,2,0.59,1
social_media,finance,employed,africa,2,91357.0,4,0.47,1
referral,retail,unemployed,middle_east,0,63133.0,4,0.21,1
paid_ads,education,unemployed,north_america,4,42802.0,2,0.21,1
paid_ads,manufacturing,unemployed,north_america,1,39805.0,4,0.54,0
referral,other,unemployed,europe,3,0.0,4,0.37,1
social_media,technology,self_employed,asia,4,70276.0,2,0.88,1
referral,education,unemployed,europe,5,76209.0,5,0.88,1
social_media,NA,self_employed,south_america,7,87437.0,6,0.61,1
organic_search,finance,unemployed,north_america,3,81171.0,4,0.51,1
events,other,unemployed,africa,2,51884.0,4,0.8,1
NA,technology,student,NA,1,67164.0,3,0.38,1
organic_search,technology,unemployed,north_america,3,62453.0,2,0.6,1
organic_search,NA,employed,asia,0,73717.0,2,0.28,0
NA,finance,employed,middle_east,4,64476.0,3,0.46,1
events,other,employed,australia,1,49479.0,3,0.16,0
paid_ads,other,self_employed,middle_east,2,60275.0,3,0.63,1
paid_ads,other,student,south_america,0,50063.0,2,0.5,0
paid_ads,education,self_employed,europe,1,83875.0,1,0.6,0
social_media,manufacturing,self_employed,australia,2,44403.0,1,0.71,0
organic_search,retail,unemployed,north_america,1,57145.0,6,0.01,1
organic_search,finance,self_employed,south_america,0,85967.0,7,0.39,1
organic_search,other,self_employed,middle_east,2,56446.0,2,0.09,0
paid_ads,healthcare,NA,asia,1,62536.0,3,0.34,0
organic_search,retail,unemployed,asia,8,50532.0,3,0.96,1
events,manufacturing,student,europe,4,62897.0,5,0.83,1
social_media,technology,unemployed,middle_east,2,43833.0,3,0.28,0
paid_ads,education,employed,middle_east,1,0.0,2,0.67,0
referral,healthcare,self_employed,south_america,2,71459.0,4,0.68,1
events,other,unemployed,africa,2,81622.0,4,0.87,1
social_media,NA,student,north_america,3,49364.0,2,0.58,1
events,education,student,europe,3,53970.0,3,0.54,1
referral,retail,unemployed,africa,0,68914.0,4,0.96,1
events,finance,employed,europe,2,19529.0,1,0.87,0
referral,healthcare,employed,south_america,0,0.0,5,0.53,1
referral,other,employed,middle_east,1,28242.0,3,0.84,1
organic_search,other,self_employed,africa,2,53701.0,4,0.36,0
NA,technology,employed,south_america,2,72567.0,2,0.98,1
social_media,technology,student,south_america,3,43675.0,0,0.92,1
organic_search,retail,unemployed,asia,6,60901.0,4,0.88,1
social_media,technology,self_employed,australia,2,72519.0,2,0.62,1
events,education,student,south_america,2,54183.0,1,0.78,1
social_media,healthcare,student,middle_east,2,73957.0,5,0.88,1
organic_search,healthcare,student,north_america,0,47949.0,5,0.43,1
events,education,unemployed,europe,2,53107.0,3,0.67,1
paid_ads,finance,unemployed,middle_east,1,49698.0,3,0.92,0
organic_search,education,student,europe,4,55429.0,4,0.01,1
paid_ads,healthcare,self_employed,europe,2,67782.0,4,0.81,1
social_media,other,self_employed,australia,1,74649.0,2,0.88,0
NA,other,student,asia,1,63349.0,4,0.68,1
organic_search,other,student,asia,3,61957.0,4,0.31,1
social_media,technology,employed,south_america,1,65738.0,3,0.29,0
paid_ads,education,student,asia,1,59070.0,1,0.3,0
events,technology,self_employed,europe,2,62123.0,3,0.49,0
organic_search,education,employed,south_america,3,68333.0,6,0.52,1
events,education,employed,north_america,3,42819.0,3,0.7,1
organic_search,other,self_employed,asia,2,71603.0,6,0.41,1
social_media,manufacturing,unemployed,middle_east,2,53003.0,4,0.84,1
paid_ads,healthcare,student,europe,0,62870.0,4,0.79,0
referral,finance,unemployed,europe,3,64877.0,1,0.53,1
paid_ads,manufacturing,employed,europe,1,63235.0,3,0.2,0
organic_search,other,employed,middle_east,3,66363.0,2,0.31,1
referral,finance,NA,asia,0,75546.0,0,0.1,0
social_media,other,employed,south_america,1,73697.0,1,0.98,1
referral,other,student,middle_east,3,72729.0,3,0.6,1
referral,manufacturing,student,europe,4,68335.0,1,0.07,1
social_media,finance,self_employed,africa,4,82144.0,0,0.6,1
social_media,education,employed,africa,1,70797.0,3,0.62,1
paid_ads,healthcare,NA,australia,1,81081.0,3,0.66,0
organic_search,finance,student,europe,1,65285.0,5,0.5,1
referral,NA,unemployed,north_america,1,79759.0,2,0.97,1
social_media,healthcare,unemployed,north_america,2,81798.0,3,0.88,0
events,technology,student,africa,0,86954.0,2,0.2,0
paid_ads,manufacturing,self_employed,asia,2,71889.0,2,0.18,0
organic_search,retail,employed,asia,2,63653.0,3,0.39,1
referral,other,unemployed,south_america,0,53502.0,1,0.96,0
referral,finance,unemployed,south_america,2,101567.0,3,0.36,1
referral,NA,employed,south_america,9,61741.0,2,0.66,1
events,other,student,south_america,0,0.0,7,0.98,1
social_media,retail,employed,europe,4,68209.0,1,0.91,1
social_media,healthcare,student,europe,4,0.0,1,0.05,1
NA,NA,employed,NA,2,70856.0,3,0.43,1
organic_search,healthcare,student,asia,2,66974.0,6,0.08,1
paid_ads,NA,employed,north_america,5,48327.0,0,0.89,1
social_media,healthcare,employed,asia,4,64709.0,3,0.21,1
social_media,retail,unemployed,europe,3,42547.0,2,0.34,0
referral,education,employed,australia,2,51119.0,4,0.73,1
organic_search,technology,unemployed,africa,0,63425.0,2,0.4,0
NA,healthcare,student,australia,3,0.0,5,0.62,1
events,manufacturing,NA,north_america,4,74508.0,1,0.23,1
organic_search,retail,self_employed,australia,1,64448.0,2,0.2,0
paid_ads,retail,unemployed,asia,1,69044.0,1,0.58,0
social_media,healthcare,self_employed,middle_east,2,73654.0,2,0.26,0
social_media,healthcare,self_employed,africa,3,0.0,2,0.36,0
referral,education,self_employed,europe,3,85012.0,3,0.62,1
events,education,employed,asia,3,69565.0,8,0.01,1
events,manufacturing,self_employed,asia,0,43862.0,4,0.21,0
events,healthcare,NA,south_america,4,62522.0,3,0.64,1
organic_search,education,student,middle_east,3,0.0,3,0.2,0
referral,healthcare,student,australia,3,71960.0,4,0.63,1
referral,NA,student,australia,0,55449.0,4,0.47,0
organic_search,finance,student,south_america,1,87872.0,3,0.75,1
NA,finance,self_employed,africa,3,86244.0,2,0.13,0
paid_ads,finance,employed,middle_east,2,99435.0,1,0.72,0
events,finance,unemployed,south_america,1,0.0,4,0.43,1
NA,NA,student,middle_east,3,72996.0,3,0.72,1
referral,retail,self_employed,north_america,1,53509.0,1,0.41,0
organic_search,finance,employed,middle_east,1,0.0,3,0.56,0
organic_search,retail,unemployed,south_america,0,53776.0,1,0.88,0
paid_ads,NA,unemployed,europe,0,28278.0,2,0.79,0
paid_ads,retail,unemployed,australia,0,42537.0,5,0.27,0
social_media,NA,unemployed,australia,3,52863.0,4,0.77,1
events,manufacturing,self_employed,europe,1,85758.0,1,0.3,0
social_media,technology,NA,south_america,1,94406.0,2,0.35,0
events,retail,self_employed,south_america,3,70573.0,2,0.57,1
organic_search,manufacturing,unemployed,africa,1,0.0,5,0.45,0
social_media,other,self_employed,asia,3,68122.0,4,0.26,1
organic_search,retail,student,australia,3,59335.0,1,0.98,1
organic_search,finance,employed,asia,1,88572.0,3,0.03,1
events,education,NA,australia,2,51421.0,2,0.24,1
referral,technology,unemployed,middle_east,1,52035.0,4,0.72,1
referral,technology,unemployed,europe,0,59695.0,4,0.97,0
paid_ads,finance,self_employed,north_america,4,64401.0,5,0.36,1
paid_ads,retail,employed,asia,2,47550.0,2,0.27,0
social_media,technology,employed,australia,3,75652.0,3,0.9,1
social_media,education,NA,europe,2,71399.0,1,0.51,1
social_media,manufacturing,student,south_america,5,66648.0,1,0.68,1
paid_ads,education,employed,europe,5,67861.0,2,0.35,1
events,retail,unemployed,australia,6,78487.0,3,0.55,1
organic_search,retail,student,australia,1,40440.0,0,0.38,0
paid_ads,retail,self_employed,africa,3,0.0,4,0.31,0
social_media,manufacturing,self_employed,middle_east,2,56070.0,2,0.23,1
events,manufacturing,self_employed,south_america,1,37117.0,0,0.47,0
referral,NA,self_employed,south_america,2,62927.0,5,0.47,1
NA,NA,unemployed,NA,2,58759.0,6,0.91,1
referral,finance,employed,north_america,3,45841.0,3,0.34,1
referral,retail,employed,australia,2,67832.0,2,0.26,1
paid_ads,retail,employed,europe,1,54211.0,0,0.12,0
organic_search,other,NA,europe,1,0.0,0,0.84,0
NA,education,self_employed,middle_east,3,69233.0,4,0.24,1
organic_search,healthcare,student,europe,0,69942.0,2,0.5,0
events,retail,employed,middle_east,1,44359.0,1,0.07,0
organic_search,retail,employed,north_america,3,68708.0,3,0.98,1
organic_search,education,self_employed,NA,2,63983.0,4,0.94,1
social_media,finance,self_employed,europe,0,80187.0,1,0.68,0
social_media,education,student,north_america,2,73225.0,1,0.36,1
social_media,other,unemployed,australia,3,63730.0,0,0.08,0
events,healthcare,student,middle_east,4,61458.0,7,0.71,1
events,healthcare,unemployed,africa,2,66519.0,4,0.33,1
organic_search,finance,employed,NA,1,75598.0,3,0.85,1
referral,NA,self_employed,south_america,1,72576.0,1,0.03,0
paid_ads,manufacturing,employed,asia,2,70803.0,3,0.1,1
social_media,education,student,asia,1,101908.0,3,0.49,1
organic_search,retail,employed,south_america,1,69028.0,6,0.5,1
events,education,student,south_america,2,66444.0,5,0.28,1
NA,NA,student,middle_east,1,45180.0,2,0.91,0
NA,NA,unemployed,NA,1,67783.0,3,0.14,0
events,healthcare,self_employed,north_america,4,43600.0,1,0.21,0
NA,retail,employed,north_america,3,60910.0,3,0.32,1
paid_ads,education,employed,north_america,2,74474.0,2,0.6,0
organic_search,retail,self_employed,australia,0,0.0,3,0.53,0
